Date,Open,High,Low,Close,Adj Close,Volume
2019-05-17,41950.000000,42050.000000,40850.000000,41200.000000,36950.921875,13357951
2019-05-20,41650.000000,42100.000000,41550.000000,42000.000000,37668.417969,15752397
2019-05-21,42600.000000,43950.000000,42350.000000,43150.000000,38699.812500,18812133
2019-05-22,43700.000000,43800.000000,42400.000000,43500.000000,39013.710938,11033339
2019-05-23,43900.000000,44000.000000,43250.000000,43850.000000,39327.613281,12259006
2019-05-24,43800.000000,43800.000000,42400.000000,42700.000000,38296.222656,13966305
2019-05-27,42500.000000,43000.000000,42350.000000,42650.000000,38251.382813,8066669
2019-05-28,42550.000000,42950.000000,42150.000000,42550.000000,38161.695313,24506881
2019-05-29,41850.000000,42100.000000,41300.000000,41800.000000,37489.046875,14930618
2019-05-30,42200.000000,42700.000000,42150.000000,42550.000000,38161.695313,11766018
2019-05-31,42600.000000,42800.000000,42150.000000,42500.000000,38116.851563,11365999
2019-06-03,42950.000000,43900.000000,42500.000000,43800.000000,39282.777344,15466580
2019-06-04,43400.000000,43700.000000,43000.000000,43450.000000,38968.871094,9913497
2019-06-05,44050.000000,44200.000000,43700.000000,43900.000000,39372.464844,12464135
2019-06-07,43600.000000,44350.000000,43450.000000,44200.000000,39641.519531,11683682
2019-06-10,44300.000000,44850.000000,44050.000000,44800.000000,40179.640625,8792182
2019-06-11,44800.000000,45000.000000,44550.000000,44850.000000,40224.488281,6664872
2019-06-12,44800.000000,45050.000000,44300.000000,44600.000000,40000.265625,8607439
2019-06-13,44200.000000,44400.000000,43400.000000,43750.000000,39237.929688,16906541
2019-06-14,43750.000000,44150.000000,43300.000000,44000.000000,39462.144531,9322873
2019-06-17,43750.000000,44050.000000,43400.000000,43900.000000,39372.464844,11890424
2019-06-18,43750.000000,44500.000000,43650.000000,44350.000000,39776.042969,7994928
2019-06-19,45450.000000,45450.000000,45000.000000,45350.000000,40672.914063,10417690
2019-06-20,44850.000000,45500.000000,44850.000000,45500.000000,40807.445313,7147785
2019-06-21,45750.000000,45800.000000,45200.000000,45700.000000,40986.820313,9454913
2019-06-24,45200.000000,45800.000000,45200.000000,45500.000000,40807.445313,6085066
2019-06-25,45200.000000,45800.000000,45200.000000,45600.000000,40897.132813,7076774
2019-06-26,45800.000000,46000.000000,45600.000000,45700.000000,40986.820313,9226097
2019-06-27,46000.000000,46600.000000,45750.000000,46500.000000,42029.890625,12603534
2019-06-28,47000.000000,47000.000000,46700.000000,47000.000000,42481.820313,12949231
2019-07-01,47350.000000,47400.000000,46250.000000,46600.000000,42120.277344,11383522
2019-07-02,46200.000000,46900.000000,45850.000000,46250.000000,41803.921875,8463073
2019-07-03,45750.000000,46350.000000,45200.000000,45400.000000,41035.628906,9669368
2019-07-04,45250.000000,46200.000000,45250.000000,46000.000000,41577.957031,6365573
2019-07-05,45950.000000,45950.000000,45250.000000,45650.000000,41261.593750,7235395
2019-07-08,44750.000000,44800.000000,44350.000000,44400.000000,40131.761719,7823843
2019-07-09,44850.000000,45450.000000,44700.000000,45100.000000,40764.476563,7646421
2019-07-10,45550.000000,46150.000000,45500.000000,45550.000000,41171.214844,9253930
2019-07-11,46350.000000,46550.000000,46150.000000,46200.000000,41758.730469,10989751
2019-07-12,46350.000000,46400.000000,45800.000000,46300.000000,41849.105469,5245804
2019-07-15,45950.000000,46650.000000,45750.000000,46450.000000,41984.695313,4717226
2019-07-16,46450.000000,46850.000000,46300.000000,46850.000000,42346.242188,7407824
2019-07-17,46150.000000,46350.000000,45950.000000,46050.000000,41623.140625,5216602
2019-07-18,46450.000000,46450.000000,45650.000000,46100.000000,41668.339844,5143554
2019-07-19,46650.000000,46950.000000,46600.000000,46800.000000,42301.046875,8819393
2019-07-22,46800.000000,47300.000000,46600.000000,47200.000000,42662.593750,9009109
2019-07-23,47350.000000,47550.000000,47050.000000,47300.000000,42752.984375,9061381
2019-07-24,47100.000000,47150.000000,46250.000000,46400.000000,41939.500000,8756522
2019-07-25,47150.000000,47200.000000,46600.000000,47200.000000,42662.593750,8408838
2019-07-26,46650.000000,47150.000000,46550.000000,47150.000000,42617.398438,7873886
2019-07-29,46800.000000,47050.000000,46000.000000,46100.000000,41668.339844,6856846
2019-07-30,46300.000000,46850.000000,46300.000000,46550.000000,42075.074219,5551014
2019-07-31,46200.000000,46600.000000,45000.000000,45350.000000,40990.445313,12872916
2019-08-01,44900.000000,45500.000000,44850.000000,45200.000000,40854.851563,7811181
2019-08-02,44550.000000,45500.000000,44300.000000,44950.000000,40628.882813,12151374
2019-08-05,44350.000000,44600.000000,43600.000000,43950.000000,39725.019531,14214086
2019-08-06,42500.000000,43800.000000,42500.000000,43500.000000,39318.281250,15083824
2019-08-07,43600.000000,43900.000000,43100.000000,43200.000000,39047.121094,10002533
2019-08-08,43250.000000,43500.000000,42650.000000,42650.000000,38549.992188,16926881
2019-08-09,43250.000000,43350.000000,43050.000000,43150.000000,39001.921875,9685147
2019-08-12,44000.000000,44000.000000,43550.000000,43700.000000,39499.046875,8466169
2019-08-13,43500.000000,43500.000000,42950.000000,43000.000000,38866.343750,7276979
2019-08-14,43900.000000,44250.000000,43500.000000,43700.000000,39499.046875,8750135
2019-08-16,43800.000000,43900.000000,43300.000000,43900.000000,39679.828125,9528115
2019-08-19,44350.000000,44350.000000,43500.000000,43600.000000,39408.671875,6014218
2019-08-20,43950.000000,44600.000000,43550.000000,44450.000000,40176.953125,8434205
2019-08-21,44350.000000,44800.000000,44150.000000,44500.000000,40222.144531,6571717
2019-08-22,44500.000000,44700.000000,43850.000000,44050.000000,39815.406250,8061177
2019-08-23,43800.000000,44200.000000,43650.000000,43950.000000,39725.019531,5017381
2019-08-26,43050.000000,43800.000000,42950.000000,43600.000000,39408.671875,7954949
2019-08-27,43650.000000,44200.000000,43600.000000,44050.000000,39815.406250,16883932
2019-08-28,44100.000000,44400.000000,43750.000000,44150.000000,39905.796875,5758333
2019-08-29,44200.000000,44200.000000,43050.000000,43400.000000,39227.894531,10768862
2019-08-30,43750.000000,44300.000000,43750.000000,44000.000000,39770.214844,9899073
2019-09-02,44850.000000,44850.000000,43650.000000,43800.000000,39589.449219,7185537
2019-09-03,43550.000000,43650.000000,43100.000000,43250.000000,39092.312500,9774941
